nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,dias_futuros,mae,mse,rmse,dac
102,30,64,128,2,0.001,0.2,30,MAE,2025-11-20 22:04:32,2025-11-20 22:04:45,1,0.1577283889055252,0.04357612505555153,0.2087489515542984,0.786692759295499
103,30,64,128,2,0.001,0.2,50,MSE,2025-11-20 22:04:45,2025-11-20 22:05:06,1,0.16564403474330902,0.05165066570043564,0.22726783156394958,0.7945205479452054
104,30,64,128,2,0.001,0.2,50,MAE,2025-11-20 22:05:06,2025-11-20 22:05:28,1,0.18331462144851685,0.09071259200572968,0.3011853098869324,0.8101761252446184
105,30,64,128,2,0.002,0.1,30,MSE,2025-11-20 22:05:28,2025-11-20 22:05:41,1,0.13641946017742157,0.040471151471138,0.20117442309856415,0.7984344422700587
106,30,64,128,2,0.002,0.1,30,MAE,2025-11-20 22:05:41,2025-11-20 22:05:54,1,0.1384175568819046,0.04562199488282204,0.21359306573867798,0.8003913894324853
107,30,64,128,2,0.002,0.1,50,MSE,2025-11-20 22:05:54,2025-11-20 22:06:15,1,0.12005534768104553,0.028999142348766327,0.17029134929180145,0.8062622309197651
108,30,64,128,2,0.002,0.1,50,MAE,2025-11-20 22:06:15,2025-11-20 22:06:36,1,0.4344007968902588,0.4299459755420685,0.6557026505470276,0.8082191780821918
109,30,64,128,2,0.002,0.2,30,MSE,2025-11-20 22:06:36,2025-11-20 22:06:49,1,0.1547171026468277,0.04271474480628967,0.2066754549741745,0.786692759295499
110,30,64,128,2,0.002,0.2,30,MAE,2025-11-20 22:06:49,2025-11-20 22:07:02,1,0.26458102464675903,0.09424179792404175,0.30698826909065247,0.8062622309197651
111,30,64,128,2,0.002,0.2,50,MSE,2025-11-20 22:07:02,2025-11-20 22:07:24,1,0.13427579402923584,0.038920070976018906,0.19728170335292816,0.8140900195694716
